epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,898.927,0.30417,0.3735,0.2195,0.79412,0.99987,1,0.995,0.84692,0.99987,1,0.995,0.81862,0.71042,0.98111,0.32588,0.85234,0.000812,0.000812,0.000812
62,912.182,0.28993,0.38366,0.21136,0.78459,0.98644,1,0.99475,0.84114,0.98644,1,0.99475,0.82063,0.7062,1.02688,0.31806,0.84778,0.0007922,0.0007922,0.0007922
63,926.71,0.30365,0.37431,0.21988,0.77946,0.99858,1,0.995,0.83306,0.99858,1,0.995,0.80499,0.71479,1.12453,0.32878,0.85524,0.0007724,0.0007724,0.0007724
64,940.277,0.29528,0.35629,0.20829,0.78909,0.96288,0.9977,0.99413,0.81911,0.9724,1,0.99449,0.81227,0.73336,1.10319,0.35288,0.86363,0.0007526,0.0007526,0.0007526
65,955.352,0.28574,0.36205,0.20596,0.77179,1,0.9972,0.995,0.82757,1,0.9972,0.995,0.82071,0.71944,1.11368,0.34224,0.86004,0.0007328,0.0007328,0.0007328
66,969.074,0.29612,0.36253,0.21163,0.77497,0.98719,1,0.99487,0.83307,0.98719,1,0.99487,0.81828,0.6968,1.05285,0.32987,0.85387,0.000713,0.000713,0.000713
67,981.781,0.29654,0.36836,0.20928,0.78444,0.98734,0.99988,0.99487,0.83132,0.98734,0.99988,0.99487,0.82672,0.69566,0.99951,0.32012,0.8527,0.0006932,0.0006932,0.0006932
68,996.081,0.29108,0.36214,0.2058,0.77247,0.98495,1,0.99487,0.83214,0.98495,1,0.99487,0.81944,0.69402,1.04504,0.31027,0.85394,0.0006734,0.0006734,0.0006734
69,1009.17,0.30037,0.35534,0.20637,0.77421,0.9989,1,0.995,0.82367,0.9989,1,0.995,0.81137,0.71755,1.12856,0.32512,0.85527,0.0006536,0.0006536,0.0006536
70,1022.62,0.29174,0.34678,0.20755,0.78833,0.99911,1,0.995,0.84194,0.99911,1,0.995,0.81702,0.71891,1.0651,0.31582,0.85982,0.0006338,0.0006338,0.0006338
71,1036.66,0.28388,0.34258,0.20729,0.76793,0.99916,1,0.995,0.8465,0.99916,1,0.995,0.82012,0.67962,1.11747,0.31341,0.85331,0.000614,0.000614,0.000614
72,1050.04,0.25939,0.34404,0.19311,0.78384,0.99923,1,0.995,0.84532,0.99923,1,0.995,0.83131,0.6862,1.0163,0.30488,0.85454,0.0005942,0.0005942,0.0005942
73,1064.67,0.25685,0.3321,0.18995,0.77023,0.99923,1,0.995,0.83952,0.99923,1,0.995,0.82439,0.68401,1.09142,0.30301,0.8534,0.0005744,0.0005744,0.0005744
74,1081.21,0.24833,0.32487,0.18555,0.77776,0.99882,1,0.995,0.84958,0.99882,1,0.995,0.82855,0.6739,1.14956,0.30179,0.85021,0.0005546,0.0005546,0.0005546
75,1098.29,0.24029,0.32621,0.18174,0.77739,0.99851,1,0.995,0.84233,0.99851,1,0.995,0.82197,0.67647,1.17819,0.30995,0.85301,0.0005348,0.0005348,0.0005348
76,1112.28,0.24094,0.32714,0.17905,0.7855,0.99907,1,0.995,0.84483,0.99907,1,0.995,0.81776,0.6811,1.20146,0.29687,0.8526,0.000515,0.000515,0.000515
77,1126.02,0.23764,0.32715,0.17871,0.76133,0.99923,1,0.995,0.84892,0.99923,1,0.995,0.81273,0.69165,1.19547,0.30921,0.85264,0.0004952,0.0004952,0.0004952
78,1141.01,0.23138,0.31947,0.1763,0.7801,0.99934,1,0.995,0.84712,0.99934,1,0.995,0.82385,0.68863,1.15338,0.29985,0.85389,0.0004754,0.0004754,0.0004754
79,1154.88,0.22965,0.31476,0.17734,0.78336,0.99935,1,0.995,0.84456,0.99935,1,0.995,0.83022,0.69455,1.13405,0.31608,0.85691,0.0004556,0.0004556,0.0004556
80,1170.22,0.25125,0.3222,0.18073,0.78127,0.99938,1,0.995,0.84509,0.99938,1,0.995,0.82422,0.6803,1.20814,0.30539,0.84882,0.0004358,0.0004358,0.0004358
